,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Predicted Price
38,Air India,6/05/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667,4681.79
39,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,21:50,19:00 10 May,21h 10m,1 stop,In-flight meal not included,12373,14607.889166666666
40,Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,10:05 10 May,17h 35m,1 stop,No info,13941,11583.4625
41,IndiGo,27/03/2019,Mumbai,Hyderabad,BOM → HYD,06:20,07:45,1h 25m,non-stop,No info,3175,3174.99
42,Air India,9/06/2019,Delhi,Cochin,DEL → BOM → COK,21:00,19:15 10 Jun,22h 15m,1 stop,No info,8372,8569.17
43,Vistara,6/04/2019,Banglore,Delhi,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,5613,5575.2
44,IndiGo,18/05/2019,Delhi,Cochin,DEL → HYD → COK,07:35,22:30,14h 55m,1 stop,No info,7144,7032.0
45,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,16:20,9h 50m,1 stop,No info,14571,12266.880333333334
46,IndiGo,24/03/2019,Chennai,Kolkata,MAA → CCU,22:05,00:25 25 Mar,2h 20m,non-stop,No info,5277,5380.27
47,Jet Airways,24/03/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,2759,6104.08
48,Air Asia,9/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:35,23:30,15h 55m,1 stop,No info,5192,6165.43
49,Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,14714,13270.945833333333
50,Air India,1/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,12:00,19:15,7h 15m,2 stops,No info,10336,9508.8
51,Air India,24/03/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,31945,7329.5005
52,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,23:35,17h 5m,1 stop,In-flight meal not included,7064,8480.147357142858
53,Jet Airways,9/06/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:30,12:35,7h 5m,2 stops,No info,14441,13701.905333333334
54,Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,13:00,01:35 04 Mar,12h 35m,1 stop,No info,17493,16869.9075
55,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,22:35 10 Jun,26h 35m,1 stop,In-flight meal not included,10844,10984.741666666665
56,SpiceJet,1/06/2019,Mumbai,Hyderabad,BOM → HYD,05:45,07:15,1h 30m,non-stop,No info,2753,2701.22
57,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,04:25 22 May,20h 25m,1 stop,In-flight meal not included,12898,12916.83
58,Jet Airways,15/04/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,non-stop,No info,7229,5552.275
59,Air India,3/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,12:00,07:40 04 Jun,19h 40m,2 stops,No info,8603,10275.19
60,Jet Airways,18/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 19 May,22h 55m,2 stops,No info,15129,14113.630303030302
61,Jet Airways,15/06/2019,Delhi,Cochin,DEL → JDH → BOM → COK,11:40,19:00,7h 20m,2 stops,No info,18804,16225.385333333334
62,Air Asia,21/04/2019,Delhi,Cochin,DEL → BLR → COK,07:55,22:25,14h 30m,1 stop,No info,7452,6404.93
63,SpiceJet,24/04/2019,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No info,3971,4260.978666666667
64,IndiGo,12/06/2019,Banglore,Delhi,BLR → DEL,10:10,13:00,2h 50m,non-stop,No info,3943,4031.37
65,IndiGo,15/03/2019,Banglore,New Delhi,BLR → AMD → DEL,14:25,19:25,5h,1 stop,No info,9165,8048.5
66,Jet Airways,24/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2 stops,No info,13014,11734.0705
67,SpiceJet,21/06/2019,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No info,3625,3515.651
68,Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,16:00,12:35 25 Jun,20h 35m,1 stop,In-flight meal not included,10262,10335.23
69,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 22 May,13h 20m,1 stop,No info,14388,12539.699333333334
70,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:15,11h 15m,1 stop,No info,15058,14452.4025
71,Air India,6/03/2019,Delhi,Cochin,DEL → BOM → COK,09:00,07:40 07 Mar,22h 40m,1 stop,No info,14882,15374.14
72,IndiGo,18/04/2019,Banglore,Delhi,BLR → DEL,10:10,13:00,2h 50m,non-stop,No info,4591,4471.0
73,SpiceJet,9/05/2019,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No check-in baggage included,3841,3863.44
74,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,18:15,9h 50m,1 stop,No info,14781,11537.403666666667
75,SpiceJet,9/04/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 10 Apr,2h 20m,non-stop,No check-in baggage included,3841,3864.131428571429
76,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 04 Jun,10h 30m,1 stop,No info,13377,13346.86
77,Jet Airways,12/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 13 Jun,8h 55m,2 stops,No info,13014,10734.76
78,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6h 15m,1 stop,No info,14848,14628.68
79,Air India,9/05/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,4145,4204.14
80,IndiGo,12/06/2019,Chennai,Kolkata,MAA → CCU,07:55,10:15,2h 20m,non-stop,No info,3850,3852.27
81,Air India,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:00,20:25,13h 25m,1 stop,No info,10413,10548.95
82,IndiGo,3/06/2019,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 04 Jun,10h 30m,1 stop,No info,6104,6212.82
83,IndiGo,1/06/2019,Banglore,Delhi,BLR → DEL,10:30,13:20,2h 50m,non-stop,No info,3943,4374.92
84,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,08:15 13 Jun,11h 5m,1 stop,In-flight meal not included,8529,10887.965595238096
85,Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,22:50,12:35 25 Jun,13h 45m,1 stop,In-flight meal not included,10262,10415.7855
86,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,22:05 19 May,25h 40m,1 stop,No info,14151,13442.73
87,Air Asia,9/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,15:10,23:30,8h 20m,2 stops,No info,5192,6525.54
88,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,04:40 22 May,14h 35m,1 stop,In-flight meal not included,9663,11573.298166666664
89,GoAir,24/04/2019,Banglore,Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No info,4632,4616.76
90,IndiGo,6/04/2019,Delhi,Cochin,DEL → BOM → COK,20:25,01:30 07 Apr,5h 5m,1 stop,No info,5073,5277.71
91,Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,10:20,19:15,8h 55m,1 stop,No info,9526,8291.31
92,IndiGo,15/04/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,4423,4402.26
93,IndiGo,12/05/2019,Mumbai,Hyderabad,BOM → HYD,20:05,21:40,1h 35m,non-stop,No info,2227,2227.0
94,Vistara,21/03/2019,Banglore,New Delhi,BLR → DEL,11:30,14:10,2h 40m,non-stop,No info,5403,5517.0
95,IndiGo,27/03/2019,Chennai,Kolkata,MAA → CCU,19:35,21:55,2h 20m,non-stop,No info,3858,4130.483333333334
96,Jet Airways,9/03/2019,Delhi,Cochin,DEL → IXC → BOM → COK,13:45,18:50 10 Mar,29h 5m,2 stops,No info,18752,16889.604166666664
97,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,12:00,5h 30m,1 stop,In-flight meal not included,9663,13609.696666666667
98,Jet Airways,24/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,12:35 25 Jun,17h 25m,2 stops,No info,12819,13094.117333333334
99,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1 stop,No info,6883,11251.666666666664
100,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 28 May,6h 30m,1 stop,No info,7198,7705.348333333333
101,Air India,09/03/2019,Banglore,New Delhi,BLR → DEL,10:00,12:45,2h 45m,non-stop,No info,7801,8649.4325
102,IndiGo,21/04/2019,Banglore,Delhi,BLR → DEL,18:25,21:20,2h 55m,non-stop,No info,4823,4882.84
103,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,09:20 25 May,26h 50m,1 stop,In-flight meal not included,9663,12036.9025
104,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,21:05 13 May,24h 40m,1 stop,No info,12121,12470.67
105,Vistara,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,23:25 13 May,27h 5m,1 stop,No info,8085,8700.58
106,IndiGo,03/03/2019,Banglore,New Delhi,BLR → IDR → DEL,13:40,18:35,4h 55m,1 stop,No info,8662,8445.13
107,Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,22:00,18:50 22 Mar,20h 50m,1 stop,In-flight meal not included,6017,8819.599023809522
108,SpiceJet,3/05/2019,Chennai,Kolkata,MAA → CCU,09:45,12:00,2h 15m,non-stop,No check-in baggage included,3859,3649.99
109,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,04:55,19:15,14h 20m,1 stop,No info,7564,7505.03
110,SpiceJet,21/06/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3919,3851.923809523809
111,Jet Airways,18/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 19 May,22h 55m,2 stops,No info,15129,14113.630303030302
112,Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,13:15,6h 15m,1 stop,No info,26890,25729.85
113,Jet Airways,15/04/2019,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,5443,8925.803333333333
114,IndiGo,09/03/2019,Banglore,New Delhi,BLR → DEL,10:05,13:00,2h 55m,non-stop,No info,6860,6982.0
115,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,20:45,6h 40m,1 stop,No info,13364,12879.01
116,Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,11h,1 stop,In-flight meal not included,12239,14862.496666666666
117,IndiGo,9/04/2019,Kolkata,Banglore,CCU → MAA → BLR,11:30,16:05,4h 35m,1 stop,No info,4966,5466.82
118,IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,No info,6144,7752.9766666666665
119,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,19:00 10 May,28h,1 stop,In-flight meal not included,12373,12985.466666666667
120,Air India,18/03/2019,Banglore,New Delhi,BLR → BOM → UDR → DEL,08:50,16:30 16 Mar,31h 40m,2 stops,No info,10835,11978.1
121,Air India,6/06/2019,Delhi,Cochin,DEL → MAA → COK,06:05,09:25 07 Jun,27h 20m,1 stop,No info,7952,7567.59
122,IndiGo,9/04/2019,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,3419,4192.35
123,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,03:50,12:35,8h 45m,1 stop,No info,10197,10441.974
124,IndiGo,3/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,01:30 04 Jun,14h 55m,1 stop,No info,5883,6136.08
125,Air India,18/05/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667,4667.0
126,IndiGo,21/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,04:55,21:20,16h 25m,2 stops,No info,6223,7308.62
127,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,08:15 07 May,11h 5m,1 stop,In-flight meal not included,7757,11340.340833333332
128,IndiGo,03/03/2019,Banglore,New Delhi,BLR → AMD → DEL,14:25,19:25,5h,1 stop,No info,11873,13431.22
129,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,08:15 07 Jun,11h 5m,1 stop,In-flight meal not included,10844,13063.463166666668
130,IndiGo,15/05/2019,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 16 May,5h 45m,1 stop,No info,7189,6818.38
131,Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,21:50,12:35 28 Jun,14h 45m,1 stop,In-flight meal not included,10262,10431.06
132,Air Asia,1/05/2019,Kolkata,Banglore,CCU → BLR,19:55,22:25,2h 30m,non-stop,No info,5989,4419.87
133,IndiGo,24/06/2019,Mumbai,Hyderabad,BOM → HYD,21:20,22:50,1h 30m,non-stop,No info,2227,2329.9
134,Jet Airways,6/06/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,4995,7288.3925
135,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,13:55,18:10 25 Mar,28h 15m,1 stop,No info,14231,12651.501166666667
136,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,18:15 19 May,23h 20m,1 stop,In-flight meal not included,10844,11373.409666666668
137,GoAir,3/03/2019,Delhi,Cochin,DEL → HYD → COK,05:45,13:20,7h 35m,1 stop,No info,5628,12935.07
138,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,16:20 10 Jun,21h 25m,1 stop,In-flight meal not included,10844,13661.273333333333
139,Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,08:30,19:15,10h 45m,1 stop,No info,8937,7782.85
140,IndiGo,6/03/2019,Kolkata,Banglore,CCU → BLR,14:20,16:55,2h 35m,non-stop,No info,5618,5459.09
141,Air India,9/04/2019,Delhi,Cochin,DEL → BOM → COK,07:00,19:15,12h 15m,1 stop,No info,6674,7537.75
142,GoAir,24/04/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,3898,4322.86
143,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,20:45 25 May,25h 50m,1 stop,In-flight meal not included,10844,11125.824499999999
144,Air India,3/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15 04 Jun,23h,2 stops,No info,13381,13463.91
145,Air India,21/05/2019,Delhi,Cochin,DEL → HYD → BOM → COK,17:15,19:15 22 May,26h,2 stops,No info,11972,12030.154499999997
146,Jet Airways,3/03/2019,Delhi,Cochin,DEL → BOM → COK,17:30,04:25 04 Mar,10h 55m,1 stop,No info,17024,18447.94
147,IndiGo,9/04/2019,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 10 Apr,5h 45m,1 stop,No info,7398,6426.64
148,Air India,01/03/2019,Banglore,New Delhi,BLR → VGA → VTZ → DEL,10:30,17:45,7h 15m,2 stops,Change airports,17461,13644.345
149,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 25 May,12h 15m,1 stop,No info,13731,10250.225
150,Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,08:15 16 Mar,15h 20m,1 stop,No info,13555,12539.383999999998
151,IndiGo,27/04/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4804,4705.69
152,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,16289,12732.900333333335
153,IndiGo,18/05/2019,Delhi,Cochin,DEL → HYD → COK,05:05,12:10,7h 5m,1 stop,No info,7520,7299.56
154,IndiGo,18/05/2019,Delhi,Cochin,DEL → BOM → COK,10:35,01:30 19 May,14h 55m,1 stop,No info,7503,7025.66
155,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,08:25,19:15,10h 50m,1 stop,No info,8601,8661.815071428571
156,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,12:00 02 Apr,27h 35m,1 stop,In-flight meal not included,7064,8650.006666666666
157,Air Asia,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:35,19:25,11h 50m,1 stop,No info,5192,5737.78
158,SpiceJet,9/06/2019,Kolkata,Banglore,CCU → IXB → BLR,15:55,21:25,5h 30m,1 stop,No info,9158,8466.11
159,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,17:00,01:35 07 Mar,8h 35m,1 stop,No info,24318,16130.0475
160,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → HYD → COK,07:10,18:10,11h,1 stop,No info,7038,7919.03
161,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,22:20,01:10 25 Mar,2h 50m,non-stop,No info,7303,5716.647333333334
162,IndiGo,15/03/2019,Banglore,New Delhi,BLR → LKO → DEL,05:25,10:10,4h 45m,1 stop,No info,8021,6889.21
163,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9h 15m,1 stop,No info,14323,14654.59
164,Air India,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,07:00,20:25,13h 25m,1 stop,No info,10203,10395.27
165,Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 16 Jun,6h 30m,1 stop,No info,7408,6904.477833333333
166,IndiGo,27/03/2019,Mumbai,Hyderabad,BOM → HYD,21:20,22:45,1h 25m,non-stop,No info,2227,2439.56
167,Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,19:15,7h 45m,1 stop,No info,16108,12594.62
168,Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,18:15,12:35 16 Jun,18h 20m,1 stop,In-flight meal not included,10262,10348.74
169,Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,14714,12062.834
170,Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,22:50,19:00 04 Jun,20h 10m,1 stop,In-flight meal not included,10262,12498.514000000001
171,IndiGo,18/05/2019,Delhi,Cochin,DEL → HYD → COK,14:20,22:30,8h 10m,1 stop,No info,7640,7131.31
172,Vistara,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,18:50,11h 40m,1 stop,No info,8610,8755.68
173,Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,18:50,10h 50m,1 stop,No info,12767,7378.170000000001
174,IndiGo,12/06/2019,Delhi,Cochin,DEL → BOM → COK,08:50,21:00,12h 10m,1 stop,No info,6093,6144.04
175,IndiGo,27/04/2019,Delhi,Cochin,DEL → HYD → COK,06:50,16:10,9h 20m,1 stop,No info,6442,6364.8
176,Jet Airways,9/05/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,4030,6254.280166666666
177,Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,7408,10444.342642857146
178,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → HYD → COK,07:05,16:10,9h 5m,1 stop,No info,10696,9983.15
179,SpiceJet,12/03/2019,Kolkata,Banglore,CCU → BLR,09:00,11:30,2h 30m,non-stop,No info,6982,4963.677142857143
180,IndiGo,9/06/2019,Mumbai,Hyderabad,BOM → HYD,19:05,20:35,1h 30m,non-stop,No info,2754,3134.2
181,Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,06:45,12:15,5h 30m,1 stop,No info,23677,17749.72
182,Air India,1/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,08:55 02 May,23h 5m,2 stops,No info,13227,13195.93
183,IndiGo,27/03/2019,Mumbai,Hyderabad,BOM → HYD,12:00,13:25,1h 25m,non-stop,No info,2754,2909.17
184,IndiGo,18/05/2019,Delhi,Cochin,DEL → BOM → COK,04:55,21:00,16h 5m,1 stop,No info,6758,7334.43
185,Air India,18/05/2019,Delhi,Cochin,DEL → COK,14:10,17:10,3h,non-stop,No info,6934,6847.06
186,Jet Airways,3/03/2019,Delhi,Cochin,DEL → IDR → BOM → COK,05:25,18:50,13h 25m,2 stops,No info,18799,18182.983333333334
187,Jet Airways,6/05/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,No info,5678,4712.059833333334
188,Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,20:20,13h 20m,1 stop,No info,27992,27739.19
189,Jet Airways,1/04/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,In-flight meal not included,4544,6361.165
190,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,16:20 07 May,21h 25m,1 stop,In-flight meal not included,7757,11048.745
191,IndiGo,27/05/2019,Delhi,Cochin,DEL → BLR → COK,17:05,22:15,5h 10m,1 stop,No info,6373,5751.21
192,Jet Airways,15/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 16 Jun,22h,2 stops,No info,13376,12811.987499999997
193,IndiGo,3/06/2019,Kolkata,Banglore,CCU → BLR,14:25,16:55,2h 30m,non-stop,No info,5644,5350.0
194,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,21:05 07 May,24h 40m,1 stop,No info,13067,12478.151666666667
195,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → HYD → COK,07:10,16:10,9h,1 stop,No info,6513,6916.07
